"metric" "n_bands" "simulation" "n" "method" "value"
"lambda" "1" "21" "45" "LASSO" 1e-04
"lambdar0" "1" "21" "45" "LASSO" 1e-04
"kappa" "1" "21" "45" "LASSO" 1e-04
"condnum" "1" "21" "45" "LASSO" 1e-04
"EL" "1" "21" "45" "LASSO" 1e-04
"RMSE" "1" "21" "45" "LASSO" 1e-04
"F1" "1" "21" "45" "LASSO" 1e-04
"eTPR" "1" "21" "45" "LASSO" 1e-04
"eTNR" "1" "21" "45" "LASSO" 1e-04
"ePPV" "1" "21" "45" "LASSO" 1e-04
"d" "1" "21" "45" "LASSO" 1e-04
"iters" "1" "21" "45" "LASSO" 1e-04
"time.user.self" "1" "21" "45" "LASSO" 1e-04
"time.sys.self" "1" "21" "45" "LASSO" 1e-04
"time.elapsed" "1" "21" "45" "LASSO" 1e-04
"time.user.child" "1" "21" "45" "LASSO" 1e-04
"time.sys.child" "1" "21" "45" "LASSO" 1e-04
"cv.iters" "1" "21" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "21" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "21" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "21" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "21" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "21" "45" "LASSO" 1e-04
"n.cv.par" "1" "21" "45" "LASSO" 1e-04
"lambda" "7" "21" "45" "LASSO" 1e-04
"lambdar0" "7" "21" "45" "LASSO" 1e-04
"kappa" "7" "21" "45" "LASSO" 1e-04
"condnum" "7" "21" "45" "LASSO" 1e-04
"EL" "7" "21" "45" "LASSO" 1e-04
"RMSE" "7" "21" "45" "LASSO" 1e-04
"F1" "7" "21" "45" "LASSO" 1e-04
"eTPR" "7" "21" "45" "LASSO" 1e-04
"eTNR" "7" "21" "45" "LASSO" 1e-04
"ePPV" "7" "21" "45" "LASSO" 1e-04
"d" "7" "21" "45" "LASSO" 1e-04
"iters" "7" "21" "45" "LASSO" 1e-04
"time.user.self" "7" "21" "45" "LASSO" 1e-04
"time.sys.self" "7" "21" "45" "LASSO" 1e-04
"time.elapsed" "7" "21" "45" "LASSO" 1e-04
"time.user.child" "7" "21" "45" "LASSO" 1e-04
"time.sys.child" "7" "21" "45" "LASSO" 1e-04
"cv.iters" "7" "21" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "21" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "21" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "21" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "21" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "21" "45" "LASSO" 1e-04
"n.cv.par" "7" "21" "45" "LASSO" 1e-04
"lambda" "14" "21" "45" "LASSO" 1e-04
"lambdar0" "14" "21" "45" "LASSO" 1e-04
"kappa" "14" "21" "45" "LASSO" 1e-04
"condnum" "14" "21" "45" "LASSO" 1e-04
"EL" "14" "21" "45" "LASSO" 1e-04
"RMSE" "14" "21" "45" "LASSO" 1e-04
"F1" "14" "21" "45" "LASSO" 1e-04
"eTPR" "14" "21" "45" "LASSO" 1e-04
"eTNR" "14" "21" "45" "LASSO" 1e-04
"ePPV" "14" "21" "45" "LASSO" 1e-04
